Date,Matchid,PlayerID,Team,TeamId,Opposition,Oppositionid,Venue,PositionId,Appearances,TimePlayed,Starts,SubstituteOn,SubstituteOff,Goals,FirstGoal,WinningGoal,ShotsOnTargetincgoals,ShotsOffTargetincwoodwork,BlockedShots,DirectFreekickOnTarget,DirectFreekickOffTarget,BlockedDirectFreekick,GoalsfromInsideBox,ShotsOnfromInsideBox,ShotsOfffromInsideBox,BlockedShotsfromInsideBox,GoalsfromOutsideBox,ShotsOnTargetOutsideBox,ShotsOffTargetOutsideBox,BlockedShotsOutsideBox,HeadedGoals,HeadedShotsOnTarget,HeadedShotsOffTarget,HeadedBlockedShots,LeftFootGoals,LeftFootShotsOnTarget,LeftFootShotsOffTarget,LeftFootBlockedShots,RightFootGoals,RightFootShotsOnTarget,RightFootShotsOffTarget,RightFootBlockedShots,GoalsOpenPlay,GoalsfromCorners,Goalsfrompenalties,AttemptsOpenPlayontarget,AttemptsfromCornersontarget,AttemptsfromDirectFreeKickontarget,AttemptsfromSetPlayontarget,AttemptsfromPenaltiesontarget,AttemptsOpenPlayofftarget,AttemptsfromCornersofftarget,AttemptsfromDirectFreeKickofftarget,AttemptsfromSetPlayofftarget,Goalsasasubstitute,TotalSuccessfulPassesAll,TotalUnsuccessfulPassesAll,Assists,KeyPasses,TotalSuccessfulPassesExclCrossesCorners,TotalUnsuccessfulPassesExclCrossesCorners,SuccessfulPassesOwnHalf,UnsuccessfulPassesOwnHalf,SuccessfulPassesOppositionHalf,UnsuccessfulPassesOppositionHalf,SuccessfulPassesDefensivethird,UnsuccessfulPassesDefensivethird,SuccessfulPassesMiddlethird,UnsuccessfulPassesMiddlethird,SuccessfulPassesFinalthird,UnsuccessfulPassesFinalthird,SuccessfulShortPasses,UnsuccessfulShortPasses,SuccessfulLongPasses,UnsuccessfulLongPasses,SuccessfulFlickOns,UnsuccessfulFlickOns,SuccessfulCrossesCorners
28/02/2019,1003277,217610,Ohod,9624,Al-Fateh,6772,Home,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,5,25,7,15,2,10,5,6,0,16,3,3,4,24,4,1,3,0,0,3
28/01/2019,1003235,217610,Ohod,9624,Al-Nassr,6780,Away,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,0,0,26,14,11,6,15,8,8,0,11,9,7,5,25,10,1,4,0,0,1
14/02/2019,1003257,109816,Ohod,9624,Al-Taawon,6778,Away,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,14,19,9,5,2,10,5,0,4,11,2,3,8,0,6,19,0,0,0
28/01/2019,1003235,109816,Ohod,9624,Al-Nassr,6780,Away,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,8,10,1,4,2,5,1,0,2,7,0,1,5,0,3,10,0,0,0
02/12/2018,1003294,234519,Al-Ittihad,1316,Al-Hazm,6846,Home,6,1,64,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,4,0,1,6,4,3,0,3,4,0,0,3,1,3,3,6,4,0,0,0,0,0
25/10/2018,1003158,234519,Al-Ittihad,1316,Al-Hilal,1317,Away,6,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21/12/2018,1003214,234519,Al-Ittihad,1316,Al-Nassr,6780,Home,6,1,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0
26/09/2018,1003130,234519,Al-Ittihad,1316,Al-Wahda,6847,Home,6,1,39,0,1,0,1,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,9,2,0,0,9,2,3,0,6,2,1,0,2,0,6,2,8,1,1,1,0,0,0
06/12/2018,1003194,234519,Al-Ittihad,1316,Al-Faisaly,6777,Home,6,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,4,1,0,0,4,1,0,0,0,0,4,1,4,1,0,0,0,0,0
04/10/2018,1003136,234519,Al-Ittihad,1316,Al-Fateh,6772,Away,6,1,38,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,6,2,0,0,6,2,0,0,0,0,6,2,6,2,0,0,0,0,0
20/09/2018,1003122,234519,Al-Ittihad,1316,Al-Taawon,6778,Away,6,1,13,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/10/2018,1003150,234519,Al-Ittihad,1316,Ohod,9624,Home,6,1,29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,4,3,0,0,4,3,0,0,0,0,4,3,4,3,0,0,0,0,1
22/11/2018,1003176,223621,Al-Fateh,6772,Ohod,9624,Home,4,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,0,40,5,32,0,8,5,14,0,25,2,1,3,40,2,0,3,0,0,0
24/09/2018,1003128,223621,Al-Fateh,6772,Al-Hilal,1317,Home,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/12/2018,1003197,223621,Al-Fateh,6772,Al-Hazm,6846,Home,4,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,0,39,6,26,0,13,6,14,0,20,2,5,4,36,1,3,5,0,0,0
01/12/2018,1003291,223621,Al-Fateh,6772,Al-Taawon,6778,Home,4,1,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,6,0,8,0,4,0,7,0,3,0,12,0,2,0,0,0,0
01/11/2018,1003163,212338,Al-Faisaly,6777,Al-Ittifaq,5680,Home,4,1,80,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,5,0,3,24,4,4,1,20,3,2,0,9,2,13,2,22,3,2,1,0,0,0
08/11/2018,1003169,212338,Al-Faisaly,6777,Al-Shabab,6774,Home,4,1,90,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,35,10,0,2,33,8,7,2,26,6,4,1,15,1,14,6,32,7,1,1,0,0,2
04/02/2019,1003247,212338,Al-Ittihad,1316,Al-Wahda,6847,Away,4,1,90,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,6,0,1,19,5,6,3,13,2,3,0,7,3,9,2,19,2,0,3,0,0,0
06/12/2018,1003194,212338,Al-Faisaly,6777,Al-Ittihad,1316,Away,4,1,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,8,2,3,0,5,2,0,0,5,0,3,2,7,1,1,1,0,0,0
19/10/2018,1003148,212338,Al-Faisaly,6777,Al-Taawon,6778,Home,6,1,75,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,5,0,1,26,4,11,0,15,4,4,0,16,1,6,3,24,4,2,0,0,0,0
15/02/2019,1003259,212338,Al-Ittihad,1316,Al-Raed,6773,Away,4,1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,2,7,1,0,0,7,1,0,0,0,0,7,1,6,1,1,0,0,0,2
08/03/2019,1003286,212338,Al-Ittihad,1316,Al-Feiha,10483,Home,4,1,45,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,5,0,1,11,5,2,0,9,5,0,0,5,1,6,4,10,5,1,0,0,0,0
20/12/2018,1003210,212338,Al-Faisaly,6777,Al-Wahda,6847,Home,4,1,83,1,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,21,3,0,0,21,3,9,0,12,3,5,0,10,1,6,2,19,2,2,1,0,0,0
24/10/2018,1003265,212338,Al-Faisaly,6777,Al-Raed,6773,Home,4,1,90,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,14,0,2,35,11,12,0,23,11,5,0,20,3,10,8,32,8,3,3,0,0,1
21/02/2019,1003271,212338,Al-Ittihad,1316,Al-Hilal,1317,Home,4,1,84,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,2,13,8,1,1,12,7,0,1,4,2,9,5,10,7,3,1,0,0,0
29/01/2019,1003239,212338,Al-Ittihad,1316,Al-Shabab,6774,Home,4,1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,3,2,1,4,2,0,0,4,2,2,1,6,3,0,0,0,0,0
24/11/2018,1003179,212338,Al-Faisaly,6777,Al-Hilal,1317,Home,4,1,72,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,6,0,1,11,6,7,2,4,4,5,0,2,4,4,2,11,2,0,4,0,0,0
31/08/2018,1003110,212338,Al-Faisaly,6777,Al-Baten,9623,Home,4,1,75,1,0,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,34,7,1,0,32,5,5,1,27,4,3,1,12,1,17,3,30,4,2,1,0,0,2
27/09/2018,1003132,212338,Al-Faisaly,6777,Al-Hazm,6846,Away,4,1,53,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,9,0,0,17,9,4,1,13,8,0,1,15,5,2,3,16,7,1,2,0,0,0
05/10/2018,1003142,212338,Al-Faisaly,6777,Al-Ahli,6770,Away,4,1,82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,0,4,36,7,14,1,22,6,11,0,13,3,12,4,33,6,3,1,0,0,1
21/09/2018,1003125,212338,Al-Faisaly,6777,Ohod,9624,Home,4,1,90,1,0,0,1,0,0,1,2,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,51,5,0,2,50,3,20,0,30,3,11,0,25,1,14,2,47,2,3,1,0,0,1
16/03/2019,1003185,212338,Al-Ittihad,1316,Al-Hazm,6846,Away,4,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,1,14,2,1,1,13,1,0,0,5,2,9,0,14,2,0,0,0,0,0
14/09/2018,1003115,212338,Al-Faisaly,6777,Al-Nassr,6780,Away,4,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,9,0,2,24,6,5,0,19,6,2,0,9,0,13,6,20,5,4,1,0,0,1
30/11/2018,1003188,212338,Al-Faisaly,6777,Al-Quadisiya,6775,Away,4,1,89,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,7,0,1,16,5,2,0,14,5,2,0,5,2,9,3,15,5,1,0,0,0,0
09/02/2019,1003255,212338,Al-Ittihad,1316,Al-Taawon,6778,Home,4,1,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,6,10,3,3,3,7,1,1,2,4,3,5,6,10,0,0,0,0,1
28/01/2019,1003235,109927,Al-Nassr,6780,Ohod,9624,Home,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,1,3,0,2,1,1,0,4,0,0,1,4,1,1,0,0,0,0
24/09/2018,1003129,109927,Al-Nassr,6780,Al-Taawon,6778,Home,4,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,0,58,5,31,2,27,3,12,1,36,2,10,2,51,2,7,3,1,0,0
30/08/2018,1003105,109927,Al-Nassr,6780,Ohod,9624,Away,4,1,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,6,0,0,22,6,6,1,16,5,3,0,13,5,6,1,22,5,0,1,0,0,0
12/02/2019,1003263,109927,Al-Nassr,6780,Al-Ahli,6770,Away,4,1,90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,36,3,16,0,20,3,5,0,26,2,5,1,31,2,5,1,0,0,0
14/12/2018,1003203,109927,Al-Nassr,6780,Al-Raed,6773,Home,4,1,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,19,1,15,1,4,0,8,1,9,0,2,0,16,1,3,0,0,0,0
10/01/2019,1003224,109927,Al-Nassr,6780,Al-Faisaly,6777,Away,4,1,82,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,38,4,0,0,38,3,28,0,10,3,8,0,27,1,3,2,35,3,3,0,0,0,0
19/09/2018,1003120,109927,Al-Nassr,6780,Al-Quadisiya,6775,Away,4,1,77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,6,0,0,59,6,43,2,16,4,11,0,43,5,5,1,54,4,5,2,0,0,0
21/12/2018,1003214,109927,Al-Nassr,6780,Al-Ittihad,1316,Away,4,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0,22,11,13,5,9,6,5,2,16,7,1,2,21,8,1,3,0,0,0
08/12/2018,1003199,109927,Al-Nassr,6780,Al-Hilal,1317,Away,4,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,2,0,0,3,2,0,0,1,1,2,1,3,1,0,1,0,0,0
14/09/2018,1003115,109927,Al-Nassr,6780,Al-Faisaly,6777,Home,4,1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,12,3,4,1,8,2,3,1,7,2,2,0,10,2,2,1,0,0,0
16/03/2019,1003295,109927,Al-Nassr,6780,Al-Wahda,6847,Away,4,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,7,0,6,0,4,0,7,0,2,0,12,0,1,0,0,0,0
06/02/2019,1003254,109927,Al-Nassr,6780,Al-Quadisiya,6775,Home,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
03/11/2018,1003167,109927,Al-Nassr,6780,Al-Ahli,6770,Home,4,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,12,0,0,56,12,31,5,25,7,10,1,39,7,7,4,51,10,5,2,0,0,0
05/10/2018,1003137,109927,Al-Nassr,6780,Al-Hazm,6846,Home,4,1,83,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44,6,0,1,44,6,29,0,15,6,13,0,24,4,7,2,42,5,2,1,0,0,0
02/03/2019,1003275,420825,Al-Baten,9623,Al-Wahda,6847,Home,4,1,90,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,5,0,0,20,5,5,1,15,4,2,0,10,3,8,2,18,3,2,2,0,0,0
27/09/2018,1003131,420825,Al-Ittifaq,5680,Ohod,9624,Home,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,0,0,32,7,27,3,5,4,19,0,11,3,2,4,31,4,1,3,0,0,0
28/01/2019,1003236,420825,Al-Baten,9623,Al-Faisaly,6777,Home,4,1,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,0,22,8,16,4,6,4,8,2,12,4,2,2,21,5,1,3,0,0,0
30/08/2018,1003104,420825,Al-Ittifaq,5680,Al-Raed,6773,Home,4,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,5,0,4,0,2,0,4,0,3,0,8,0,1,0,0,0,0
11/01/2019,1003113,420825,Al-Baten,9623,Al-Ittifaq,5680,Home,4,1,90,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,1,25,9,15,6,10,3,5,2,14,5,6,2,25,5,0,4,0,0,0
21/09/2018,1003123,420825,Al-Ittifaq,5680,Al-Feiha,10483,Home,2,1,70,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,14,9,12,3,2,6,9,2,4,4,1,3,14,7,0,2,0,1,0
