Matchid,Date,Home_id,Home_Name,Away_id,Away_Name,Home,Away,Round
1003234,28/01/2019,6778,Al-Taawon,6770,Al-Ahli,3,4,17
1003106,28/01/2019,6847,Al-Wahda,6846,Al-Hazm,1,1,17
1003135,02/02/2019,9623,Al-Baten,6770,Al-Ahli,1,2,18
1003242,03/02/2019,6777,Al-Faisaly,6846,Al-Hazm,1,2,18
1003243,04/02/2019,1317,Al-Hilal,6772,Al-Fateh,4,1,18
1003240,02/02/2019,6775,Al-Quadisiya,10483,Al-Feiha,2,0,18
1003241,04/02/2019,6774,Al-Shabab,6773,Al-Raed,1,1,18
1003244,02/02/2019,6778,Al-Taawon,6780,Al-Nassr,3,1,18
1003247,04/02/2019,6847,Al-Wahda,1316,Al-Ittihad,0,2,18
1003245,03/02/2019,9624,Ohod,5680,Al-Ittifaq,2,1,18
1003251,08/02/2019,9623,Al-Baten,1317,Al-Hilal,2,3,19
1003248,09/02/2019,6772,Al-Fateh,6774,Al-Shabab,1,0,19
1003249,08/02/2019,10483,Al-Feiha,5680,Al-Ittifaq,1,1,19
1003252,07/02/2019,6846,Al-Hazm,6770,Al-Ahli,2,4,19
1003255,09/02/2019,1316,Al-Ittihad,6778,Al-Taawon,0,0,19
1003254,06/02/2019,6780,Al-Nassr,6775,Al-Quadisiya,3,1,19
1003250,09/02/2019,6773,Al-Raed,6847,Al-Wahda,1,3,19
1003253,07/02/2019,9624,Ohod,6777,Al-Faisaly,4,1,19
1003263,12/02/2019,6770,Al-Ahli,6780,Al-Nassr,1,2,20
1003258,14/02/2019,10483,Al-Feiha,6772,Al-Fateh,1,2,20
1003262,13/02/2019,6846,Al-Hazm,9623,Al-Baten,1,0,20
1003261,12/02/2019,1317,Al-Hilal,6775,Al-Quadisiya,4,1,20
1003260,13/02/2019,5680,Al-Ittifaq,6777,Al-Faisaly,3,4,20
1003259,15/02/2019,6773,Al-Raed,1316,Al-Ittihad,1,1,20
1003256,15/02/2019,6774,Al-Shabab,6847,Al-Wahda,1,0,20
1003257,14/02/2019,6778,Al-Taawon,9624,Ohod,4,0,20
1003264,20/02/2019,6772,Al-Fateh,6770,Al-Ahli,2,1,21
1003266,21/02/2019,6846,Al-Hazm,5680,Al-Ittifaq,1,1,21
1003271,21/02/2019,1316,Al-Ittihad,1317,Al-Hilal,0,2,21
1003269,23/02/2019,6780,Al-Nassr,10483,Al-Feiha,1,0,21
1003268,22/02/2019,6775,Al-Quadisiya,6774,Al-Shabab,0,1,21
1003154,23/02/2019,6773,Al-Raed,6777,Al-Faisaly,0,3,21
1003267,22/02/2019,6778,Al-Taawon,9623,Al-Baten,4,1,21
1003270,22/02/2019,6847,Al-Wahda,9624,Ohod,4,1,21
1003279,01/03/2019,6770,Al-Ahli,1316,Al-Ittihad,1,1,22
1003275,02/03/2019,9623,Al-Baten,6847,Al-Wahda,1,1,22
1003177,02/03/2019,6846,Al-Hazm,10483,Al-Feiha,0,1,22
1003273,01/03/2019,1317,Al-Hilal,6777,Al-Faisaly,2,1,22
1003274,01/03/2019,6773,Al-Raed,6775,Al-Quadisiya,0,0,22
1003278,28/02/2019,6774,Al-Shabab,6780,Al-Nassr,0,1,22
1003180,28/02/2019,6778,Al-Taawon,5680,Al-Ittifaq,4,1,22
1003277,28/02/2019,9624,Ohod,6772,Al-Fateh,0,0,22
1003283,09/03/2019,6772,Al-Fateh,9623,Al-Baten,0,2,23
1003282,09/03/2019,6846,Al-Hazm,9624,Ohod,2,2,23
1003175,08/03/2019,1317,Al-Hilal,6847,Al-Wahda,1,1,23
1003286,08/03/2019,1316,Al-Ittihad,10483,Al-Feiha,2,0,23
1003284,08/03/2019,6780,Al-Nassr,5680,Al-Ittifaq,3,2,23
1003280,08/03/2019,6775,Al-Quadisiya,6770,Al-Ahli,1,2,23
1003281,07/03/2019,6774,Al-Shabab,6777,Al-Faisaly,2,1,23
1003285,07/03/2019,6778,Al-Taawon,6773,Al-Raed,2,1,23
1003289,14/03/2019,6777,Al-Faisaly,6775,Al-Quadisiya,3,0,24
1003185,16/03/2019,6846,Al-Hazm,1316,Al-Ittihad,0,3,24
1003184,15/03/2019,5680,Al-Ittifaq,6774,Al-Shabab,1,1,24
1003190,15/03/2019,6773,Al-Raed,9623,Al-Baten,1,0,24
1003186,14/03/2019,6778,Al-Taawon,6772,Al-Fateh,1,1,24
1003295,16/03/2019,6847,Al-Wahda,6780,Al-Nassr,0,4,24
9999991,23/03/2019,1317,Al-Hilal,9624,Ohod,0,0,24
9999903,28/03/2019,10483,Al-Feiha,9623,Al-Baten,2,1,25
9999904,28/03/2019,6778,Al-Taawon,6847,Al-Wahda,1,0,25
9999905,28/03/2019,5680,Al-Ittifaq,6775,Al-Quadisiya,3,2,25
9999906,28/03/2019,6770,Al-Ahli,6773,Al-Raed,4,5,25
9999902,28/03/2019,6846,Al-Hazm,6772,Al-Fateh,1,0,25
