Date,Matchid,Team,TeamId,Opposition,Oppositionid,PassBackward,PassLeft,PassRight,UnsuccessfulBallTouch,SuccessfulBallTouch,TakeOnsOverrun,CompId,SeasId,Touchesopenplayfinalthird,Touchesopenplayoppbox,Touchesopenplayoppsixyards,DeflectedGoals,DeflectedShots,GoalfrompassfromFK,GoalsfromdivingHeaders,GoalsVolleys,FastBreakGoals,FastBreakAttempts,BigChanceCreated,BigChancesScored,BigChancesOnTarget,BigChancesOffTarget,BigChancesBlocked,BigChancesFluffed,IntentionalAssist,IntentionalChancesCreated,SecondAssists,AttackingGroundDuelsWon,AttackingGroundDuelsLost,DefensiveGroundDuelsWon,DefensiveGroundDuelsLost,AttackingAerialDuelsWon,AttackingAerialDuelsLost,DefensiveAerialDuelsWon,DefensiveAerialDuelsLost,CrossesBlocked,StraightRedcard,RedCard2Yellows,TimesTackled,GoalkeeperSmother,SavesDiving,SavesFingertip,SavesParriedSafe,SavesParriedDanger,SavesStanding,SavesReaching,SavesStooping,SavesHands,SavesFeet,SavesBody,GKPickup,SavesCaught,SavesCollected,KeeperSweeperSuccessful,KeeperSweeperUnsuccessful,TotalShotsConceded,TotalBlockedShotsConceded,Xsuccessfulpassesforwards,Xsuccessfulpassesbackwards,Xsuccessfulpassesleft,Xsuccessfulpassesright,PassesReceived,LeftFootShots,ShootingAccuracyLeftFoot,RightFootShots,ShootingAccuracyRightFoot,GKLongDistribution,GKLongAccuracy,GKShortDistribution,GKShortAccuracy,SubPosition
28/12/2018,1003222,Al-Ahli,6770,Al-Wahda,6847,76,141,148,14,13,0,202,2018,140,18,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,0,23,18,18,22,7,7,11,7,1,0,1,19,0,0,0,0,0,1,0,1,2,0,0,4,1,1,0,0,5,1,67.46%,94.74%,92.91%,91.89%,462,2,50.00%,6,66.67%,0,0.00%,7,100.00%,0
28/01/2019,1003234,Al-Ahli,6770,Al-Taawon,6778,53,92,95,16,14,3,202,2018,98,25,2,0,0,0,0,0,0,0,3,4,5,0,0,0,2,8,0,21,19,20,19,9,9,8,10,0,0,0,17,0,2,0,1,1,1,1,0,3,1,0,10,2,0,0,0,12,4,58.82%,94.34%,86.96%,88.42%,319,2,50.00%,10,50.00%,7,71.43%,5,100.00%,0
09/11/2018,1003173,Al-Ahli,6770,Al-Quadisiya,6775,70,153,148,20,17,3,202,2018,218,27,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,23,27,14,8,2,9,11,2,1,0,0,24,0,3,0,4,0,1,0,1,5,0,0,6,0,1,0,0,13,4,72.00%,92.86%,92.81%,90.54%,480,3,0.00%,6,16.67%,0,0.00%,12,100.00%,0
25/10/2018,1003159,Al-Ahli,6770,Al-Fateh,6772,73,146,155,12,10,0,202,2018,132,28,1,0,0,0,0,0,0,0,2,0,1,1,0,0,4,10,0,11,15,18,13,1,3,1,7,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,1,76.43%,95.89%,95.21%,93.55%,487,9,66.67%,7,57.14%,6,33.33%,6,100.00%,0
01/09/2018,1003111,Al-Ahli,6770,Al-Taawon,6778,66,142,145,12,6,2,202,2018,203,29,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,10,0,20,16,7,9,4,6,4,3,0,0,0,16,0,3,0,1,1,1,0,0,4,0,0,7,0,2,0,0,8,2,74.48%,95.45%,91.55%,97.24%,497,1,0.00%,9,66.67%,3,100.00%,7,100.00%,0
21/12/2018,1003215,Al-Ahli,6770,Al-Hilal,1317,32,82,78,12,5,1,202,2018,63,11,1,0,0,0,0,0,0,0,1,2,3,0,0,0,2,3,1,18,23,16,23,6,6,6,1,1,0,0,16,0,1,0,1,0,0,0,0,0,1,0,6,0,0,0,0,12,1,47.27%,90.62%,91.46%,83.33%,231,3,33.33%,2,100.00%,9,44.44%,4,100.00%,0
15/12/2018,1003207,Al-Ahli,6770,Al-Shabab,6774,60,99,109,19,7,3,202,2018,134,16,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,18,16,27,18,6,9,7,7,2,0,0,15,0,0,0,1,0,1,0,1,2,0,0,6,0,1,0,0,10,9,65.49%,91.67%,89.90%,89.91%,345,3,66.67%,4,50.00%,6,50.00%,6,100.00%,0
20/10/2018,1003151,Al-Ahli,6770,Al-Ittifaq,5680,52,83,81,10,6,2,202,2018,111,13,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,30,21,12,17,6,8,7,9,0,0,0,20,0,5,0,3,2,0,0,2,6,1,0,5,0,2,0,0,20,2,62.42%,92.31%,92.77%,92.59%,307,1,0.00%,6,33.33%,4,0.00%,5,100.00%,0
05/10/2018,1003142,Al-Ahli,6770,Al-Faisaly,6777,103,160,155,8,6,0,202,2018,174,23,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,7,0,16,28,26,8,2,3,7,3,2,0,0,22,0,1,0,4,0,3,0,1,4,1,0,6,0,1,0,0,7,3,77.72%,96.12%,95.00%,92.26%,556,3,33.33%,6,33.33%,3,66.67%,6,100.00%,0
01/03/2019,1003279,Al-Ahli,6770,Al-Ittihad,1316,70,97,100,14,15,3,202,2018,152,28,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0,16,24,19,14,17,16,19,4,1,0,0,24,0,1,0,2,0,1,0,1,3,0,0,6,0,1,0,0,12,3,56.82%,90.00%,90.72%,86.00%,354,4,0.00%,2,50.00%,3,66.67%,10,100.00%,0
25/11/2018,1003183,Al-Ahli,6770,Al-Ittihad,1316,68,115,116,11,7,3,202,2018,81,13,0,1,0,0,0,0,0,0,2,1,2,0,0,0,3,6,0,16,17,23,11,4,2,5,1,1,0,0,17,0,3,0,1,1,2,0,0,5,0,0,7,1,2,0,0,13,3,58.50%,97.06%,90.43%,91.38%,374,4,75.00%,5,80.00%,8,75.00%,6,100.00%,0
11/01/2019,1003230,Al-Ahli,6770,Ohod,9624,66,130,123,16,15,3,202,2018,114,22,3,0,0,0,0,0,0,1,4,4,4,0,0,0,4,8,0,23,11,22,23,8,13,4,5,1,0,0,12,0,1,0,2,0,1,3,2,7,0,0,12,1,4,0,0,15,1,67.10%,98.48%,92.31%,88.62%,415,1,0.00%,9,66.67%,11,45.45%,8,100.00%,0
07/02/2019,1003252,Al-Ahli,6770,Al-Hazm,6846,57,98,108,18,12,4,202,2018,81,28,1,1,0,0,0,0,1,2,3,1,1,2,0,0,2,9,0,23,24,23,17,3,2,8,3,1,0,0,23,0,0,0,2,0,3,0,2,4,0,1,9,0,3,0,0,10,5,70.12%,98.25%,91.84%,90.74%,371,5,80.00%,6,16.67%,6,33.33%,6,100.00%,0
21/12/2018,1003211,Al-Baten,9623,Al-Shabab,6774,63,90,93,15,4,2,202,2018,87,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,16,19,14,17,1,2,5,3,2,0,0,20,0,0,0,0,0,1,0,1,2,0,0,6,0,2,0,0,13,5,56.49%,88.89%,94.44%,88.17%,321,1,100.00%,4,75.00%,11,54.55%,5,100.00%,0
02/03/2019,1003275,Al-Baten,9623,Al-Wahda,6847,31,59,46,12,8,1,202,2018,97,17,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4,0,17,27,16,23,4,5,10,6,1,0,0,23,0,2,0,2,0,0,0,1,3,0,0,10,0,1,0,0,10,3,54.20%,87.10%,83.05%,80.43%,196,0,0.00%,4,75.00%,6,50.00%,7,100.00%,0
08/11/2018,1003168,Al-Baten,9623,Al-Fateh,6772,46,60,80,27,6,2,202,2018,90,11,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4,0,16,24,17,15,4,5,4,6,1,0,0,22,0,3,0,2,2,1,0,1,4,0,1,2,0,1,0,0,11,5,63.91%,97.83%,80.00%,83.75%,254,1,0.00%,7,42.86%,10,40.00%,1,100.00%,0
08/02/2019,1003251,Al-Baten,9623,Al-Hilal,1317,41,39,46,18,18,1,202,2018,66,14,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,14,13,22,27,6,5,10,9,2,0,0,19,0,0,0,0,1,0,0,1,0,0,1,4,0,0,0,0,11,5,43.52%,82.93%,74.36%,82.61%,156,0,0.00%,4,100.00%,7,42.86%,3,100.00%,0
31/08/2018,1003110,Al-Baten,9623,Al-Faisaly,6777,26,50,64,17,2,1,202,2018,82,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,24,21,21,4,9,2,4,0,0,0,20,0,4,0,3,1,1,0,0,5,0,0,7,0,1,0,0,11,5,65.05%,96.15%,74.00%,78.12%,187,1,0.00%,3,66.67%,3,100.00%,1,100.00%,0
15/03/2019,1003190,Al-Baten,9623,Al-Raed,6773,33,52,53,16,9,0,202,2018,84,21,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,19,15,22,29,10,9,15,4,3,0,0,12,0,3,0,2,1,1,2,0,6,0,0,9,2,1,0,0,11,4,46.88%,93.94%,82.69%,81.13%,197,1,100.00%,7,57.14%,11,63.64%,7,100.00%,0
05/10/2018,1003141,Al-Baten,9623,Ohod,9624,33,29,42,18,10,1,202,2018,68,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,13,17,16,16,3,10,10,10,3,0,0,14,0,5,0,0,3,0,1,0,6,0,0,9,0,3,0,0,19,4,49.52%,84.85%,79.31%,80.95%,145,1,0.00%,3,100.00%,14,35.71%,2,100.00%,0
22/02/2019,1003267,Al-Baten,9623,Al-Taawon,6778,50,67,62,18,8,1,202,2018,60,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,17,17,23,3,5,8,6,0,0,0,18,0,4,0,1,3,0,2,0,5,1,0,5,0,2,0,0,17,4,51.47%,92.00%,85.07%,82.26%,234,1,100.00%,4,50.00%,6,50.00%,3,100.00%,0
14/12/2018,1003204,Al-Baten,9623,Al-Ittihad,1316,45,83,80,28,10,1,202,2018,70,10,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,3,0,16,19,20,16,4,3,4,3,1,0,0,21,0,1,0,2,1,0,1,1,3,0,0,3,0,0,0,0,13,7,55.80%,97.78%,80.72%,90.00%,272,0,0.00%,5,60.00%,9,55.56%,5,100.00%,0
20/09/2018,1003124,Al-Baten,9623,Al-Hilal,1317,17,50,57,13,8,2,202,2018,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,14,20,21,12,3,2,0,8,4,0,0,21,0,1,0,2,0,0,1,1,3,0,0,4,0,1,0,0,12,0,54.55%,94.12%,88.00%,78.95%,164,0,0.00%,7,28.57%,14,64.29%,2,100.00%,0
22/11/2018,1003178,Al-Baten,9623,Al-Wahda,6847,79,107,102,20,5,2,202,2018,150,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,33,17,20,4,5,7,6,3,0,0,34,0,0,0,0,0,0,0,1,1,0,0,5,0,1,0,0,6,4,70.59%,98.73%,94.39%,92.16%,418,2,50.00%,7,14.29%,4,75.00%,5,100.00%,0
06/12/2018,1003193,Al-Baten,9623,Al-Feiha,10483,33,44,57,15,3,1,202,2018,53,8,0,0,0,0,0,0,0,0,3,1,2,2,0,0,1,4,0,17,13,25,13,0,5,2,5,1,0,0,10,0,4,0,2,0,0,1,0,5,0,0,11,0,3,0,0,12,3,50.00%,87.88%,86.36%,87.72%,189,2,0.00%,5,60.00%,11,27.27%,8,100.00%,0
01/11/2018,1003161,Al-Baten,9623,Al-Hazm,6846,40,46,58,21,8,0,202,2018,109,28,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,0,20,20,26,27,7,9,8,10,1,0,0,16,0,1,0,1,1,1,0,1,3,0,0,8,0,1,1,0,9,6,53.44%,92.50%,82.61%,84.48%,208,1,0.00%,9,77.78%,11,63.64%,2,100.00%,0
27/12/2018,1003216,Al-Baten,9623,Al-Quadisiya,6775,30,42,47,13,13,2,202,2018,41,10,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,1,0,14,15,24,15,1,7,9,5,2,0,0,11,0,3,0,2,1,0,0,0,2,1,0,7,0,0,0,0,8,6,46.61%,93.33%,80.95%,76.60%,162,0,0.00%,6,66.67%,10,50.00%,6,100.00%,0
13/02/2019,1003262,Al-Baten,9623,Al-Hazm,6846,35,65,79,14,10,1,202,2018,102,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,24,26,10,8,14,12,5,2,0,0,19,0,1,0,1,0,0,0,1,2,0,0,5,0,1,3,0,8,1,47.88%,91.43%,75.38%,83.54%,239,1,0.00%,2,50.00%,11,63.64%,1,100.00%,0
13/09/2018,1003228,Al-Baten,9623,Al-Ittifaq,5680,38,72,68,14,7,6,202,2018,100,19,3,0,0,0,0,1,0,0,3,1,2,1,0,0,2,7,0,20,29,18,13,7,7,8,4,1,0,0,26,0,0,0,0,0,1,0,1,2,0,0,9,0,2,0,0,10,6,63.16%,94.74%,84.72%,80.88%,238,2,100.00%,7,71.43%,9,77.78%,4,100.00%,0
29/09/2018,1003246,Al-Baten,9623,Al-Ahli,6770,44,79,78,12,13,3,202,2018,111,15,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,17,17,19,5,8,3,2,1,0,0,14,0,2,0,0,2,0,0,1,3,0,0,8,0,1,0,0,10,3,60.48%,97.73%,84.81%,89.74%,266,2,0.00%,6,66.67%,5,60.00%,6,100.00%,0
19/10/2018,1003147,Al-Baten,9623,Al-Nassr,6780,38,56,48,10,12,2,202,2018,75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,17,23,24,4,3,3,3,2,0,0,13,0,2,0,4,0,3,0,0,5,0,0,9,0,1,0,0,15,4,52.27%,94.74%,75.00%,72.92%,193,0,0.00%,4,25.00%,14,42.86%,5,100.00%,0
28/01/2019,1003236,Al-Baten,9623,Al-Faisaly,6777,35,42,60,18,13,1,202,2018,63,7,1,1,0,0,0,0,0,1,1,1,2,0,0,0,0,4,0,13,16,18,21,3,8,10,5,0,0,0,16,0,2,0,1,1,0,0,3,5,0,0,15,0,3,0,0,12,5,58.70%,97.14%,78.57%,85.00%,206,2,50.00%,3,100.00%,6,50.00%,3,100.00%,0
09/03/2019,1003283,Al-Baten,9623,Al-Fateh,6772,33,44,47,5,16,5,202,2018,69,11,2,0,0,0,0,0,0,0,3,2,4,0,0,0,0,3,0,12,27,29,17,5,4,10,11,6,0,0,26,0,2,0,4,0,2,0,0,4,0,0,5,0,0,0,0,10,1,52.48%,93.94%,88.64%,63.83%,187,1,0.00%,5,100.00%,18,44.44%,1,100.00%,0
01/12/2018,1003290,Al-Baten,9623,Al-Raed,6773,55,81,80,17,7,1,202,2018,112,18,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,6,0,24,19,9,22,3,2,8,0,0,0,0,15,0,0,0,0,0,0,0,1,1,0,0,8,0,1,0,0,10,4,62.77%,96.36%,88.89%,80.00%,287,2,100.00%,4,25.00%,13,38.46%,6,100.00%,0
11/01/2019,1003113,Al-Baten,9623,Al-Ittifaq,5680,50,56,42,18,10,3,202,2018,109,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,26,19,20,24,9,18,8,4,1,0,0,15,0,0,0,1,0,2,0,0,2,0,0,8,1,0,0,0,10,6,51.03%,86.00%,78.57%,64.29%,201,1,0.00%,6,33.33%,12,50.00%,3,100.00%,0
26/10/2018,1003156,Al-Baten,9623,Al-Taawon,6778,42,47,56,15,11,3,202,2018,91,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,20,14,21,4,6,1,6,2,1,0,19,0,1,0,0,0,0,0,0,1,0,0,6,0,1,0,0,11,0,53.08%,90.48%,80.85%,75.00%,192,0,0.00%,4,25.00%,5,40.00%,3,100.00%,0
02/02/2019,1003135,Al-Baten,9623,Al-Ahli,6770,33,72,73,10,6,1,202,2018,90,20,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,8,0,17,17,23,24,3,6,4,6,0,0,0,19,0,2,0,1,0,1,0,0,3,0,0,7,0,2,1,0,12,1,62.79%,93.94%,94.44%,83.56%,250,4,75.00%,5,40.00%,10,40.00%,4,75.00%,0
13/12/2018,1003201,Al-Faisaly,6777,Al-Fateh,6772,51,96,97,11,2,4,202,2018,105,21,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,8,0,12,23,25,14,5,8,8,4,1,0,0,23,0,0,0,0,0,1,0,0,1,0,0,7,0,1,0,0,11,2,64.24%,92.16%,88.54%,86.60%,335,1,0.00%,5,40.00%,12,58.33%,9,100.00%,0
10/01/2019,1003224,Al-Faisaly,6777,Al-Nassr,6780,47,107,98,24,18,2,202,2018,124,18,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,4,0,32,26,30,23,2,4,3,6,1,0,0,22,0,1,0,1,0,1,1,0,3,0,0,5,1,1,0,0,12,3,70.42%,95.74%,84.11%,86.73%,336,0,0.00%,10,60.00%,8,50.00%,6,100.00%,0
01/11/2018,1003163,Al-Faisaly,6777,Al-Ittifaq,5680,41,50,58,10,9,1,202,2018,102,22,0,0,0,0,0,0,0,0,4,2,3,2,0,0,4,9,0,22,16,18,16,3,6,4,5,5,0,0,15,0,1,1,6,0,5,0,1,7,0,0,13,0,0,0,0,14,4,55.20%,85.37%,88.00%,75.86%,204,4,25.00%,12,50.00%,15,40.00%,3,100.00%,0
06/12/2018,1003194,Al-Faisaly,6777,Al-Ittihad,1316,45,65,66,27,9,2,202,2018,76,10,4,0,0,0,0,0,0,1,1,1,1,0,0,0,2,3,1,13,23,24,18,5,4,7,7,4,0,0,23,0,1,0,2,2,3,0,0,2,0,1,4,0,0,0,0,15,6,55.00%,93.33%,93.85%,90.91%,244,3,100.00%,5,20.00%,8,37.50%,9,100.00%,0
01/03/2019,1003273,Al-Faisaly,6777,Al-Hilal,1317,46,88,88,12,10,3,202,2018,51,9,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,0,10,26,28,24,4,2,10,6,2,0,0,25,0,4,0,3,2,1,0,0,5,0,0,4,0,0,0,0,18,4,56.25%,100.00%,85.23%,84.09%,289,0,0.00%,1,0.00%,3,66.67%,11,100.00%,0
27/12/2018,1003217,Al-Faisaly,6777,Al-Feiha,10483,57,123,138,9,13,1,202,2018,136,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,21,23,11,16,2,4,5,3,3,0,0,20,0,3,0,3,0,0,0,0,3,0,0,10,0,0,0,0,9,4,64.10%,91.23%,89.43%,93.48%,410,1,0.00%,5,40.00%,2,100.00%,13,100.00%,0
31/08/2018,1003110,Al-Faisaly,6777,Al-Baten,9623,82,158,131,9,4,0,202,2018,147,28,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,4,0,21,21,24,6,4,2,9,4,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,70.51%,95.12%,92.41%,95.42%,468,5,60.00%,5,80.00%,5,60.00%,2,100.00%,0
27/09/2018,1003132,Al-Faisaly,6777,Al-Hazm,6846,50,102,109,13,2,1,202,2018,80,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,14,15,17,20,5,5,7,0,2,0,0,16,1,3,0,4,0,1,0,1,5,0,0,11,1,0,0,0,14,4,59.87%,92.00%,90.20%,84.40%,337,4,75.00%,0,0.00%,15,53.33%,5,100.00%,0
14/03/2019,1003289,Al-Faisaly,6777,Al-Quadisiya,6775,50,81,76,9,9,3,202,2018,120,28,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,5,0,24,20,16,17,2,4,7,5,2,0,0,21,0,5,0,3,0,1,0,0,6,0,0,7,1,2,1,0,14,5,62.70%,96.00%,85.19%,85.53%,275,4,50.00%,7,42.86%,5,80.00%,6,100.00%,0
23/02/2019,1003154,Al-Faisaly,6777,Al-Raed,6773,57,66,85,8,17,5,202,2018,85,18,1,0,0,0,0,0,0,1,4,2,3,0,1,0,2,3,1,16,19,18,20,2,7,7,4,4,0,0,23,0,2,0,1,1,1,0,0,3,0,0,8,0,1,0,0,15,4,70.31%,92.98%,87.88%,87.06%,296,3,33.33%,7,100.00%,19,63.16%,6,100.00%,0
07/02/2019,1003253,Al-Faisaly,6777,Ohod,9624,54,98,89,21,16,2,202,2018,125,22,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,0,26,22,21,20,6,8,7,4,1,0,0,23,0,2,0,2,2,1,1,2,5,0,1,5,0,2,1,0,13,1,62.24%,92.59%,92.86%,89.89%,324,0,0.00%,5,0.00%,2,100.00%,8,100.00%,0
07/03/2019,1003281,Al-Faisaly,6777,Al-Shabab,6774,52,88,90,21,21,4,202,2018,163,36,0,0,0,0,0,0,0,0,4,1,2,4,0,0,0,11,0,31,32,17,11,5,8,4,2,1,0,0,29,0,2,0,1,0,0,0,1,3,0,0,6,0,2,0,0,11,2,65.56%,92.31%,92.05%,86.67%,322,1,0.00%,6,33.33%,2,0.00%,9,100.00%,0
03/02/2019,1003242,Al-Faisaly,6777,Al-Hazm,6846,72,93,126,15,14,2,202,2018,143,25,1,0,0,0,0,0,0,0,2,1,2,0,0,0,1,9,0,28,22,14,15,5,2,3,3,3,0,0,21,0,0,0,0,0,1,0,0,1,0,0,7,0,1,0,0,6,1,65.29%,97.22%,95.70%,88.89%,396,2,0.00%,6,33.33%,3,66.67%,9,100.00%,0
30/11/2018,1003188,Al-Faisaly,6777,Al-Quadisiya,6775,48,86,88,16,27,1,202,2018,138,34,3,0,0,0,0,0,0,0,2,1,3,0,0,0,0,6,0,19,26,26,13,5,4,11,6,1,0,0,22,0,1,0,0,1,1,0,1,3,0,0,7,0,2,1,0,6,1,57.25%,91.67%,88.37%,82.95%,281,2,50.00%,6,83.33%,5,80.00%,5,100.00%,0
13/02/2019,1003260,Al-Faisaly,6777,Al-Ittifaq,5680,56,88,76,18,14,1,202,2018,112,20,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,6,0,25,26,20,15,6,8,6,6,1,0,0,24,0,1,0,0,1,1,0,0,2,0,0,7,0,1,0,0,9,2,64.81%,91.07%,87.50%,85.53%,308,2,100.00%,11,54.55%,2,0.00%,8,100.00%,0
