Date,Home_Team_Id,Home_Team_Name,Visitor_Team_Id,Visitor_Team,group,Round,season,Home_Score,Away_Score
Fri 29 Dec 17:50  finished,6780,Al-Nassr,6770,Al-Ahli,1,16,2017/2018,3,1
Fri 14 Dec 17:30  finished,5680,Al-Ittifaq,6770,Al-Ahli,1,13,2007/2008,1,2
Mon 25 Apr 19:40  finished,6774,Al-Shabab,6770,Al-Ahli,1,23,2010/2011,2,1
Fri 15 May 20:00  finished,1316,Al-Ittihad,6770,Al-Ahli,1,26,2014/2015,1,1
Sat 18 Apr 20:00  finished,6777,Al-Faisaly,6770,Al-Ahli,1,23,2014/2015,1,4
Thu 23 Dec 17:40  finished,6772,Al-Fateh,6770,Al-Ahli,1,16,2010/2011,0,2
Fri 24 Aug 19:35  finished,6846,Al-Hazm,6770,Al-Ahli,1,1,2007/2008,1,0
Sun 22 Mar 18:55  finished,6780,Al-Nassr,6770,Al-Ahli,1,20,2014/2015,3,4
Sun 19 Nov 17:40  finished,6778,Al-Taawon,6770,Al-Ahli,1,10,2017/2018,1,1
Thu 24 Feb 18:20  finished,1316,Al-Ittihad,6770,Al-Ahli,1,18,2010/2011,2,0
Thu 26 Oct 18:50  finished,6777,Al-Faisaly,6770,Al-Ahli,1,8,2017/2018,1,2
Sun 10 Dec 17:40  finished,9624,Ohod,6770,Al-Ahli,1,13,2017/2018,2,2
Thu 13 Sep 21:15  finished,6774,Al-Shabab,6770,Al-Ahli,1,3,2007/2008,1,3
Sun 22 Nov 18:10  finished,1316,Al-Ittihad,6770,Al-Ahli,1,8,2015/2016,0,3
Fri 10 Dec 17:35  finished,6846,Al-Hazm,6770,Al-Ahli,1,14,2010/2011,1,3
Fri 21 Aug 18:15  finished,6778,Al-Taawon,6770,Al-Ahli,1,1,2015/2016,0,0
Fri 12 Dec 17:40  finished,6778,Al-Taawon,6770,Al-Ahli,1,12,2014/2015,1,4
Thu 04 Dec 17:35  finished,6772,Al-Fateh,6770,Al-Ahli,1,11,2014/2015,0,1
Fri 01 Dec 18:00  finished,1317,Al-Hilal,6770,Al-Ahli,1,12,2017/2018,2,0
Sat 25 Oct 18:50  finished,6773,Al-Raed,6770,Al-Ahli,1,8,2014/2015,2,4
Sat 07 Mar 18:40  finished,6774,Al-Shabab,6770,Al-Ahli,1,18,2014/2015,2,3
Sun 20 Dec 15:30  finished,6772,Al-Fateh,6770,Al-Ahli,1,13,2015/2016,0,2
Fri 20 May 19:55  finished,6773,Al-Raed,6770,Al-Ahli,1,26,2010/2011,2,3
Fri 21 Oct 18:50  finished,6772,Al-Fateh,6770,Al-Ahli,1,6,2011/2012,2,2
Sun 30 Apr 19:30  finished,6773,Al-Raed,6770,Al-Ahli,1,25,2016/2017,1,3
Sun 29 Dec 17:50  finished,6780,Al-Nassr,6770,Al-Ahli,1,15,2013/2014,3,1
Thu 24 Jan 18:00  finished,6780,Al-Nassr,6770,Al-Ahli,1,17,2007/2008,2,1
Sun 30 Mar 19:25  finished,6847,Al-Wahda,6770,Al-Ahli,1,20,2007/2008,1,0
Thu 10 Dec 18:15  finished,1317,Al-Hilal,6770,Al-Ahli,1,11,2015/2016,1,2
Fri 18 Jan 17:45  finished,1316,Al-Ittihad,6770,Al-Ahli,1,19,2007/2008,1,0
Sat 15 Apr 19:45  finished,1317,Al-Hilal,6770,Al-Ahli,1,23,2016/2017,0,0
Sun 07 Nov 17:40  finished,1317,Al-Hilal,6770,Al-Ahli,1,6,2010/2011,3,3
Sun 04 Feb 18:20  finished,1316,Al-Ittihad,6770,Al-Ahli,1,20,2017/2018,0,0
Thu 28 Nov 17:35  finished,6774,Al-Shabab,6770,Al-Ahli,1,11,2013/2014,1,0
Sun 13 Apr 19:30  finished,6775,Al-Quadisiya,6770,Al-Ahli,1,22,2007/2008,1,1
Fri 16 Mar 18:30  finished,6773,Al-Raed,6770,Al-Ahli,1,18,2017/2018,0,3
Sun 25 Dec 17:45  finished,6777,Al-Faisaly,6770,Al-Ahli,1,7,2011/2012,0,1
Thu 29 Sep 19:10  finished,1317,Al-Hilal,6770,Al-Ahli,1,4,2011/2012,4,0
Wed 02 Jan 17:35  finished,1317,Al-Hilal,6770,Al-Ahli,1,15,2007/2008,1,3
Thu 16 Jan 18:05  finished,1317,Al-Hilal,6770,Al-Ahli,1,18,2013/2014,1,0
Fri 13 Dec 17:35  finished,5680,Al-Ittifaq,6770,Al-Ahli,1,13,2013/2014,2,0
Fri 07 Apr 19:40  finished,6770,Al-Ahli,9623,Al-Baten,1,22,2016/2017,1,1
Fri 12 Jan 18:00  finished,6770,Al-Ahli,9623,Al-Baten,1,17,2017/2018,5,0
Sat 15 Apr 17:45  finished,6772,Al-Fateh,9623,Al-Baten,1,23,2016/2017,3,2
Thu 15 Feb 18:30  finished,6780,Al-Nassr,9623,Al-Baten,1,22,2017/2018,0,3
Sat 14 Oct 16:55  finished,5680,Al-Ittifaq,9623,Al-Baten,1,6,2017/2018,1,3
Sat 29 Oct 18:50  finished,6847,Al-Wahda,9623,Al-Baten,1,7,2016/2017,5,1
Fri 09 Feb 13:50  finished,6773,Al-Raed,9623,Al-Baten,1,21,2017/2018,3,1
Fri 11 Aug 19:55  finished,1316,Al-Ittihad,9623,Al-Baten,1,1,2017/2018,1,3
Thu 16 Nov 15:30  finished,6775,Al-Quadisiya,9623,Al-Baten,1,10,2017/2018,0,0
Thu 03 Nov 18:00  finished,1316,Al-Ittihad,9623,Al-Baten,1,8,2016/2017,2,0
Tue 06 Mar 16:25  finished,6772,Al-Fateh,9623,Al-Baten,1,18,2017/2018,5,2
Sat 10 Mar 16:50  finished,6778,Al-Taawon,9623,Al-Baten,1,24,2017/2018,1,2
Sat 29 Apr 19:50  finished,6778,Al-Taawon,9623,Al-Baten,1,25,2016/2017,4,3
Fri 22 Dec 13:40  finished,9624,Ohod,9623,Al-Baten,1,15,2017/2018,1,1
Fri 15 Sep 17:40  finished,6774,Al-Shabab,9623,Al-Baten,1,3,2017/2018,1,2
Sun 12 Feb 16:35  finished,6773,Al-Raed,9623,Al-Baten,1,18,2016/2017,2,1
Fri 30 Dec 15:55  finished,6774,Al-Shabab,9623,Al-Baten,1,15,2016/2017,3,1
Thu 04 May 19:50  finished,6777,Al-Faisaly,9623,Al-Baten,1,26,2016/2017,2,2
Thu 30 Nov 15:45  finished,6777,Al-Faisaly,9623,Al-Baten,1,12,2017/2018,0,1
Thu 01 Dec 17:40  finished,6780,Al-Nassr,9623,Al-Baten,1,11,2016/2017,4,0
Sat 21 Oct 18:55  finished,1317,Al-Hilal,9623,Al-Baten,1,7,2017/2018,2,1
Sat 18 Feb 16:15  finished,6775,Al-Quadisiya,9623,Al-Baten,1,19,2016/2017,1,1
Sat 09 Dec 13:10  finished,10483,Al-Feiha,9623,Al-Baten,1,13,2017/2018,2,0
Wed 21 Sep 19:25  finished,5680,Al-Ittifaq,9623,Al-Baten,1,4,2016/2017,2,1
Sat 13 Aug 19:45  finished,1317,Al-Hilal,9623,Al-Baten,1,1,2016/2017,2,0
Fri 29 Aug 17:45  finished,6772,Al-Fateh,6777,Al-Faisaly,1,3,2014/2015,1,2
Fri 16 Oct 19:00  finished,6847,Al-Wahda,6777,Al-Faisaly,1,4,2015/2016,2,2
Fri 08 Aug 19:45  finished,1316,Al-Ittihad,6777,Al-Faisaly,1,2,2014/2015,2,1
Sat 04 Feb 16:50  finished,6847,Al-Wahda,6777,Al-Faisaly,1,17,2016/2017,0,1
Fri 18 Nov 17:45  finished,6778,Al-Taawon,6777,Al-Faisaly,1,9,2016/2017,0,0
Fri 30 Aug 19:35  finished,6778,Al-Taawon,6777,Al-Faisaly,1,2,2013/2014,1,1
Fri 01 Apr 18:00  finished,6773,Al-Raed,6777,Al-Faisaly,1,21,2015/2016,5,0
Fri 03 Aug 21:30  finished,6778,Al-Taawon,6777,Al-Faisaly,1,1,2012/2013,2,0
Sat 23 Sep 17:15  finished,6775,Al-Quadisiya,6777,Al-Faisaly,1,4,2017/2018,1,1
Sat 27 Apr 19:40  finished,6780,Al-Nassr,6777,Al-Faisaly,1,26,2012/2013,2,1
Sun 30 Nov 17:35  finished,6770,Al-Ahli,6777,Al-Faisaly,1,10,2014/2015,1,1
Sat 19 Sep 20:00  finished,1316,Al-Ittihad,6777,Al-Faisaly,1,3,2015/2016,1,2
Sat 07 Feb 16:30  finished,6773,Al-Raed,6777,Al-Faisaly,1,14,2014/2015,2,1
Fri 03 Apr 17:50  finished,6774,Al-Shabab,6777,Al-Faisaly,1,21,2014/2015,2,1
Sat 04 Nov 17:45  finished,9624,Ohod,6777,Al-Faisaly,1,9,2017/2018,1,3
Fri 21 Oct 17:10  finished,6773,Al-Raed,6777,Al-Faisaly,1,6,2016/2017,1,0
Sat 12 Mar 16:25  finished,6772,Al-Fateh,6777,Al-Faisaly,1,20,2015/2016,2,1
Fri 14 Sep 19:25  finished,5680,Al-Ittifaq,6777,Al-Faisaly,1,6,2012/2013,1,1
Mon 27 Aug 19:40  finished,1316,Al-Ittihad,6777,Al-Faisaly,1,4,2012/2013,2,2
Sat 11 Apr 20:00  finished,1317,Al-Hilal,6777,Al-Faisaly,1,22,2014/2015,3,0
Fri 13 Mar 16:50  finished,6778,Al-Taawon,6777,Al-Faisaly,1,19,2014/2015,0,1
Thu 04 Dec 17:35  finished,6780,Al-Nassr,6777,Al-Faisaly,1,11,2014/2015,0,0
Thu 24 Feb 18:20  finished,6780,Al-Nassr,6777,Al-Faisaly,1,18,2010/2011,3,2
Thu 15 Dec 12:50  finished,6772,Al-Fateh,6777,Al-Faisaly,1,13,2011/2012,2,1
Sat 22 Aug 17:55  finished,6775,Al-Quadisiya,6777,Al-Faisaly,1,1,2015/2016,1,0
Sat 15 Oct 19:00  finished,1317,Al-Hilal,6777,Al-Faisaly,1,5,2016/2017,4,0
Fri 07 Feb 18:20  finished,6780,Al-Nassr,6777,Al-Faisaly,1,21,2013/2014,4,0
Sun 08 Apr 19:35  finished,5680,Al-Ittifaq,6777,Al-Faisaly,1,25,2011/2012,1,2
Fri 20 Oct 18:55  finished,6778,Al-Taawon,6777,Al-Faisaly,1,7,2017/2018,1,0
Fri 30 Dec 13:15  finished,6774,Al-Shabab,6777,Al-Faisaly,1,14,2011/2012,1,1
Sat 29 Apr 19:50  finished,1316,Al-Ittihad,6777,Al-Faisaly,1,25,2016/2017,2,2
Fri 03 Mar 18:30  finished,6780,Al-Nassr,6777,Al-Faisaly,1,20,2016/2017,0,0
Thu 13 Dec 13:10  finished,6774,Al-Shabab,6777,Al-Faisaly,1,15,2012/2013,3,2
Thu 02 Jan 17:55  finished,1317,Al-Hilal,6777,Al-Faisaly,1,16,2013/2014,2,1
Thu 12 May 18:10  finished,1317,Al-Hilal,6777,Al-Faisaly,1,26,2015/2016,0,0
Mon 14 Dec 15:45  finished,6774,Al-Shabab,6777,Al-Faisaly,1,12,2015/2016,0,1
Fri 29 Mar 18:35  finished,6847,Al-Wahda,6777,Al-Faisaly,1,23,2012/2013,1,2
Wed 30 Nov 17:35  finished,6775,Al-Quadisiya,6777,Al-Faisaly,1,11,2011/2012,2,2
Thu 15 Dec 13:05  finished,9623,Al-Baten,6777,Al-Faisaly,1,13,2016/2017,0,0
Sat 11 Mar 18:35  finished,6774,Al-Shabab,6777,Al-Faisaly,1,21,2016/2017,1,2
Fri 18 Nov 17:35  finished,1316,Al-Ittihad,6777,Al-Faisaly,1,9,2011/2012,4,2
Thu 07 Mar 18:25  finished,6772,Al-Fateh,6777,Al-Faisaly,1,22,2012/2013,1,0
Wed 06 Nov 17:45  finished,6773,Al-Raed,6777,Al-Faisaly,1,9,2013/2014,1,0
Thu 20 Apr 19:45  finished,6770,Al-Ahli,6777,Al-Faisaly,1,24,2016/2017,2,1
Thu 19 Dec 17:45  finished,6770,Al-Ahli,6777,Al-Faisaly,1,14,2013/2014,1,1
Mon 13 Feb 18:20  finished,6770,Al-Ahli,6777,Al-Faisaly,1,20,2011/2012,2,0
Wed 20 Feb 18:20  finished,6770,Al-Ahli,6777,Al-Faisaly,1,20,2012/2013,2,1
Thu 02 Feb 13:40  finished,1317,Al-Hilal,6777,Al-Faisaly,1,18,2011/2012,2,1
Thu 12 Jan 13:25  finished,6780,Al-Nassr,6777,Al-Faisaly,1,16,2011/2012,1,1
Mon 02 Nov 18:15  finished,6780,Al-Nassr,6777,Al-Faisaly,1,6,2015/2016,0,0
Fri 23 Mar 18:30  finished,6778,Al-Taawon,6777,Al-Faisaly,1,23,2011/2012,1,2
Thu 24 Nov 15:30  finished,5680,Al-Ittifaq,6777,Al-Faisaly,1,10,2016/2017,3,1
Sat 30 Apr 19:40  finished,6770,Al-Ahli,6777,Al-Faisaly,1,24,2010/2011,3,0
Fri 28 Mar 18:35  finished,5680,Al-Ittifaq,6777,Al-Faisaly,1,25,2013/2014,1,1
Fri 04 Oct 19:05  finished,6772,Al-Fateh,6777,Al-Faisaly,1,6,2013/2014,1,0
Fri 17 Jan 13:30  finished,6774,Al-Shabab,6777,Al-Faisaly,1,18,2013/2014,4,3
Thu 01 Nov 17:40  finished,1317,Al-Hilal,6777,Al-Faisaly,1,11,2012/2013,1,0
Thu 21 Apr 19:40  finished,6778,Al-Taawon,6777,Al-Faisaly,1,23,2010/2011,4,1
Thu 26 Nov 18:00  finished,6770,Al-Ahli,6777,Al-Faisaly,1,9,2015/2016,1,1
Thu 17 Aug 18:20  finished,6773,Al-Raed,6777,Al-Faisaly,1,2,2017/2018,2,3
Thu 23 Aug 19:40  finished,6773,Al-Raed,6777,Al-Faisaly,1,3,2012/2013,1,0
Fri 31 Jan 18:15  finished,1316,Al-Ittihad,6777,Al-Faisaly,1,20,2013/2014,1,2
Fri 16 Sep 19:25  finished,6773,Al-Raed,6777,Al-Faisaly,1,2,2011/2012,1,4
Fri 19 Aug 17:50  finished,6775,Al-Quadisiya,6777,Al-Faisaly,1,2,2016/2017,1,1
Sat 06 Feb 13:55  finished,6778,Al-Taawon,6777,Al-Faisaly,1,15,2015/2016,3,1
Fri 27 Jan 16:05  finished,6772,Al-Fateh,6777,Al-Faisaly,1,16,2016/2017,1,0
Sun 15 Aug 21:15  finished,6847,Al-Wahda,6777,Al-Faisaly,1,1,2010/2011,3,3
Thu 28 Dec 18:20  finished,1316,Al-Ittihad,6777,Al-Faisaly,1,16,2017/2018,3,3
Sat 16 Oct 18:55  finished,6772,Al-Fateh,6777,Al-Faisaly,1,9,2010/2011,0,1
Tue 06 Mar 16:25  finished,5680,Al-Ittifaq,6777,Al-Faisaly,1,18,2017/2018,0,0
Tue 28 Sep 19:10  finished,6775,Al-Quadisiya,6777,Al-Faisaly,1,7,2010/2011,2,2
Mon 29 Jan 18:10  finished,10483,Al-Feiha,6777,Al-Faisaly,1,19,2017/2018,2,2
Thu 14 Dec 17:40  finished,6780,Al-Nassr,6777,Al-Faisaly,1,14,2017/2018,1,1
Wed 25 Aug 21:00  finished,1317,Al-Hilal,6777,Al-Faisaly,1,3,2010/2011,5,1
Thu 08 Feb 18:20  finished,6770,Al-Ahli,6777,Al-Faisaly,1,21,2017/2018,2,1
Fri 02 Mar 18:30  finished,1317,Al-Hilal,6777,Al-Faisaly,1,23,2017/2018,1,0
Sat 07 Apr 18:00  finished,9623,Al-Baten,6777,Al-Faisaly,1,25,2017/2018,3,1
Thu 03 Mar 18:25  finished,6846,Al-Hazm,6777,Al-Faisaly,1,19,2010/2011,0,3
Thu 16 Dec 17:40  finished,1316,Al-Ittihad,6777,Al-Faisaly,1,15,2010/2011,3,3
Sun 29 Aug 20:45  finished,5680,Al-Ittifaq,6777,Al-Faisaly,1,4,2010/2011,1,0
Thu 11 Nov 17:35  finished,6774,Al-Shabab,6777,Al-Faisaly,1,13,2010/2011,4,1
Sat 25 Nov 15:30  finished,6772,Al-Fateh,6777,Al-Faisaly,1,11,2017/2018,0,5
Wed 03 Nov 17:40  finished,6773,Al-Raed,6777,Al-Faisaly,1,12,2010/2011,0,0
Fri 08 Dec 15:45  finished,6774,Al-Shabab,6777,Al-Faisaly,1,13,2017/2018,0,1
Fri 27 Oct 17:00  finished,6774,Al-Shabab,6772,Al-Fateh,1,8,2017/2018,1,1
Sat 11 Feb 16:10  finished,5680,Al-Ittifaq,6772,Al-Fateh,1,18,2016/2017,2,2
Mon 21 Jan 18:00  finished,6773,Al-Raed,6772,Al-Fateh,1,17,2012/2013,1,3
Fri 13 May 20:00  finished,6770,Al-Ahli,6772,Al-Fateh,1,26,2015/2016,3,2
Thu 28 Jan 18:10  finished,6847,Al-Wahda,6772,Al-Fateh,1,20,2009/2010,6,0
Sun 09 Dec 17:35  finished,6780,Al-Nassr,6772,Al-Fateh,1,14,2012/2013,0,0
Fri 01 Mar 18:25  finished,1316,Al-Ittihad,6772,Al-Fateh,1,21,2012/2013,0,2
Thu 12 Apr 19:40  finished,1317,Al-Hilal,6772,Al-Fateh,1,26,2017/2018,4,1
Fri 13 Mar 18:30  finished,1317,Al-Hilal,6772,Al-Fateh,1,19,2014/2015,3,0
Fri 12 Aug 20:05  finished,6780,Al-Nassr,6772,Al-Fateh,1,1,2016/2017,4,1
Tue 28 Apr 19:40  finished,6770,Al-Ahli,6772,Al-Fateh,1,24,2014/2015,5,0
Mon 18 Jan 18:00  finished,6775,Al-Quadisiya,6772,Al-Fateh,1,18,2009/2010,0,1
Fri 20 Feb 16:30  finished,6777,Al-Faisaly,6772,Al-Fateh,1,16,2014/2015,4,2
Thu 06 Apr 17:40  finished,6775,Al-Quadisiya,6772,Al-Fateh,1,22,2016/2017,1,2
Thu 19 Aug 21:00  finished,6780,Al-Nassr,6772,Al-Fateh,1,2,2010/2011,4,2
Sat 17 Feb 18:30  finished,1316,Al-Ittihad,6772,Al-Fateh,1,22,2017/2018,0,0
Thu 09 Mar 18:35  finished,1317,Al-Hilal,6772,Al-Fateh,1,21,2016/2017,1,0
Fri 13 Sep 19:25  finished,1316,Al-Ittihad,6772,Al-Fateh,1,3,2013/2014,4,2
Fri 09 Dec 13:15  finished,6778,Al-Taawon,6772,Al-Fateh,1,12,2011/2012,3,3
Fri 01 Apr 20:00  finished,6847,Al-Wahda,6772,Al-Fateh,1,21,2015/2016,1,3
Sun 27 Jan 18:05  finished,6770,Al-Ahli,6772,Al-Fateh,1,11,2012/2013,3,3
Thu 18 Apr 15:50  finished,6847,Al-Wahda,6772,Al-Fateh,1,25,2012/2013,2,1
Fri 02 Dec 13:05  finished,1317,Al-Hilal,6772,Al-Fateh,1,11,2011/2012,3,2
Sat 10 Mar 16:45  finished,6777,Al-Faisaly,6772,Al-Fateh,1,24,2017/2018,0,2
Sat 17 Sep 17:40  finished,6777,Al-Faisaly,6772,Al-Fateh,1,3,2016/2017,0,0
Sun 17 Apr 20:00  finished,6778,Al-Taawon,6772,Al-Fateh,1,23,2015/2016,1,2
Thu 12 Feb 18:30  finished,6774,Al-Shabab,6772,Al-Fateh,1,15,2014/2015,2,2
Fri 14 Sep 19:25  finished,6778,Al-Taawon,6772,Al-Fateh,1,6,2012/2013,0,1
Fri 23 Oct 18:45  finished,1317,Al-Hilal,6772,Al-Fateh,1,6,2009/2010,5,1
Wed 18 Apr 19:40  finished,6777,Al-Faisaly,6772,Al-Fateh,1,26,2011/2012,1,0
Tue 07 Aug 21:15  finished,1317,Al-Hilal,6772,Al-Fateh,1,2,2012/2013,1,2
Wed 30 Sep 19:05  finished,5680,Al-Ittifaq,6772,Al-Fateh,1,4,2009/2010,0,2
Fri 04 Dec 17:35  finished,6780,Al-Nassr,6772,Al-Fateh,1,10,2009/2010,3,1
Sat 29 Oct 17:10  finished,6774,Al-Shabab,6772,Al-Fateh,1,7,2016/2017,2,0
Thu 15 Mar 18:25  finished,6774,Al-Shabab,6772,Al-Fateh,1,22,2011/2012,1,0
Thu 10 Dec 17:35  finished,6770,Al-Ahli,6772,Al-Fateh,1,11,2009/2010,1,1
Wed 26 Aug 21:15  finished,6773,Al-Raed,6772,Al-Fateh,1,2,2009/2010,2,1
Tue 15 Dec 17:40  finished,1316,Al-Ittihad,6772,Al-Fateh,1,12,2009/2010,1,1
Thu 12 Jan 13:35  finished,6773,Al-Raed,6772,Al-Fateh,1,16,2011/2012,1,2
Thu 04 Oct 19:00  finished,6777,Al-Faisaly,6772,Al-Fateh,1,9,2012/2013,0,0
