Date,Home_Team,Team id,Team Name,Visitor_Team,round,season,Home_Score,Away_Score
Tue 25 Feb   finished,Al Taawon,6778.0,Al-Taawon,Al Ta ee,1,2013/2014,0,1
Tue 28 May 18:30  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Fateh FC,3,2012/2013,2,0
Sun 29 May 20:00  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Nassr,5,2015/2016,2,1
Sat 18 May 19:50  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Shabab,2,2012/2013,1,0
Fri 20 Jan 18:10  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Shoalah,1,2016/2017,2,1
Sat 11 Jun 20:05  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Shabab,1,2010/2011,0,1
Mon 23 Apr 19:45  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Faisaly,1,2011/2012,5,1
Thu 21 Jan 18:00  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Ta ee,1,2015/2016,3,0
Sat 05 Jan 17:55  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Riyadh,1,2018/2019,4,0
Fri 11 May 19:50  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Hilal Riyadh,2,2011/2012,2,2
Mon 20 Jun 20:05  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Wahda Mecca,2,2010/2011,4,1
Sat 04 May 19:45  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Nassr,1,2012/2013,3,1
Fri 18 May 20:00  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Nassr,4,2011/2012,4,1
Sun 21 Jan 16:45  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Orubah,2,2017/2018,6,0
Thu 01 May 19:45  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Shabab,5,2013/2014,0,3
Mon 05 Apr   finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Nassr,1,2009/2010,0,3
Mon 17 Mar 18:30  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Orubah,2,2013/2014,3,0
Wed 23 Jan 18:05  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Wahda Mecca,3,2018/2019,(,)
Tue 25 Feb   finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Ansar Medina,1,2013/2014,5,0
Thu 18 May 20:00  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Hilal Riyadh,5,2016/2017,2,3
Sat 19 Apr 19:45  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Ittihad,4,2013/2014,2,1
Wed 25 Mar   finished,Al Ahli Jeddah,6770.0,Al-Ahli,Al Ta ee,1,2014/2015,3,0
Sun 02 Apr 19:30  finished,Al Ahli Jeddah,6770.0,Al-Ahli,Wajj,3,2016/2017,6,0
Mon 23 Feb   finished,Al Batin,9623.0,Al-Baten,Al Nahdha,1,2014/2015,3,1
Tue 22 Jan 13:30  finished,Al Batin,9623.0,Al-Baten,Al Raed,3,2018/2019,2,1
Thu 23 Apr   finished,Al Batin,9623.0,Al-Baten,Al Orubah,2,2014/2015,4,1
Sun 01 Apr 19:35  finished,Al Batin,9623.0,Al-Baten,Al Ittihad,4,2017/2018,2,6
Thu 25 Jan 13:30  finished,Al Batin,9623.0,Al-Baten,Dhamk Club,2,2017/2018,2,0
Sun 24 Jan 13:25  finished,Al Batin,9623.0,Al-Baten,Qadisiyah Khobar,1,2015/2016,3,2
Sat 12 Apr 19:40  finished,Al Faisaly,6777.0,Al-Faisaly,Al Ettifaq Dammam,3,2013/2014,0,4
Fri 20 Jan 13:35  finished,Al Faisaly,6777.0,Al-Faisaly,Al Jeel,1,2016/2017,3,2
Tue 08 Mar 18:45  finished,Al Ittihad,1316.0,Al-Ittihad,Al Wahda Mecca,2,2015/2016,2,0
Fri 23 Feb 18:30  finished,Al Ittihad,1316.0,Al-Ittihad,Al Shabab,3,2017/2018,3,1
Sun 19 Jun   finished,Al Ittihad,1316.0,Al-Ittihad,Al Hilal Riyadh,2,2010/2011,1,1
Fri 24 Jun   finished,Al Ittihad,1316.0,Al-Ittihad,Al Ahli Jeddah,4,2010/2011,0,0
Sun 22 Apr 19:45  finished,Al Ittihad,1316.0,Al-Ittihad,Al Hilal Riyadh,1,2011/2012,2,2
Sun 05 May 19:45  finished,Al Ittihad,1316.0,Al-Ittihad,Al Hilal Riyadh,1,2012/2013,3,2
Fri 10 Jun 20:05  finished,Al Ittihad,1316.0,Al-Ittihad,Al Nassr,1,2010/2011,1,1
Fri 17 May 19:50  finished,Al Ittihad,1316.0,Al-Ittihad,Al Fateh FC,2,2012/2013,2,0
Wed 29 May 20:00  finished,Al Ittihad,1316.0,Al-Ittihad,Al Shabab,4,2012/2013,4,2
Mon 25 Jan 18:00  finished,Al Ittihad,1316.0,Al-Ittihad,Al Riyadh,1,2015/2016,4,0
Thu 03 Jan 17:50  finished,Al Wahda Mecca,6847.0,Al-Wahda,Al Nairyah,1,2018/2019,6,1
Tue 10 Mar   finished,Al Wahda Mecca,6847.0,Al-Wahda,Al Nassr,1,2014/2015,1,2
Tue 11 Feb   finished,Al Wahda Mecca,6847.0,Al-Wahda,Al Khaleej Saihat,1,2013/2014,3,1
Thu 16 Jun 20:05  finished,Al Wahda Mecca,6847.0,Al-Wahda,Al Ahli Jeddah,2,2010/2011,2,2
Sat 28 May 18:40  finished,Al Wahda Mecca,6847.0,Al-Wahda,Al Ettifaq Dammam,1,2010/2011,2,1
Thu 08 Apr   finished,Al Wahda Mecca,6847.0,Al-Wahda,Al Shabab,1,2009/2010,0,0
Wed 20 Jan 18:00  finished,Al Wahda Mecca,6847.0,Al-Wahda,Ohod,1,2015/2016,2,1
Wed 03 Jan 17:45  finished,Al Wahda Mecca,6847.0,Al-Wahda,Al Najoom,1,2017/2018,0,2
Wed 18 Jan 18:00  finished,Ohod,9624.0,Ohod,Al Wahda Mecca,1,2016/2017,0,1
Sat 05 Jan 16:30  finished,Ohod,9624.0,Ohod,Al Sharq,1,2018/2019,2,0
Thu 04 Jan 13:45  finished,Ohod,9624.0,Ohod,Al Orubah,1,2017/2018,0,1
Fri 30 Mar 19:35  finished,Al Faisaly,6770.0,Al-Ahli,Al Ahli Jeddah,4,2017/2018,1,0
Fri 24 Jun   finished,Al Ittihad,6770.0,Al-Ahli,Al Ahli Jeddah,4,2010/2011,0,0
Mon 13 Feb 18:15  finished,Qadisiyah Khobar,6770.0,Al-Ahli,Al Ahli Jeddah,2,2016/2017,1,3
Thu 16 Jun 20:05  finished,Al Wahda Mecca,6770.0,Al-Ahli,Al Ahli Jeddah,2,2010/2011,2,2
Sat 25 May 18:05  finished,Al Shabab,6770.0,Al-Ahli,Al Ahli Jeddah,2,2012/2013,2,0
Fri 27 Apr 19:45  finished,Al Faisaly,6770.0,Al-Ahli,Al Ahli Jeddah,1,2011/2012,0,3
Tue 14 Apr 17:45  finished,Qadisiyah Khobar,6770.0,Al-Ahli,Al Ahli Jeddah,2,2014/2015,1,1
Sun 29 May 20:00  finished,Al Shabab,6770.0,Al-Ahli,Al Ahli Jeddah,1,2010/2011,0,3
Fri 29 Apr 19:45  finished,Al Hilal Riyadh,6770.0,Al-Ahli,Al Ahli Jeddah,4,2015/2016,2,3
Fri 12 May 19:50  finished,Al Faisaly,6770.0,Al-Ahli,Al Ahli Jeddah,4,2016/2017,0,3
Tue 12 Apr 18:05  finished,Al Raed,6770.0,Al-Ahli,Al Ahli Jeddah,3,2015/2016,1,3
Sat 12 Apr 19:40  finished,Al Ta ee,6770.0,Al-Ahli,Al Ahli Jeddah,3,2013/2014,0,3
Sat 24 Feb 16:40  finished,Al-Fayha,6770.0,Al-Ahli,Al Ahli Jeddah,3,2017/2018,(,)
Mon 01 Feb 14:00  finished,Dhamk Club,6770.0,Al-Ahli,Al Ahli Jeddah,2,2015/2016,1,2
Wed 08 May 19:45  finished,Al Nassr,6770.0,Al-Ahli,Al Ahli Jeddah,1,2012/2013,1,3
Mon 07 May 19:50  finished,Al Hilal Riyadh,6770.0,Al-Ahli,Al Ahli Jeddah,2,2011/2012,0,1
Fri 09 Apr   finished,Al Nassr,6770.0,Al-Ahli,Al Ahli Jeddah,1,2009/2010,1,3
Sun 27 Apr 19:45  finished,Al Ittihad,6770.0,Al-Ahli,Al Ahli Jeddah,4,2013/2014,2,3
Fri 18 Jan 15:55  finished,Al Najoom,6770.0,Al-Ahli,Al Ahli Jeddah,2,2018/2019,0,1
Sat 06 Jan 17:20  finished,Al Shoalah,6770.0,Al-Ahli,Al Ahli Jeddah,1,2017/2018,0,2
Wed 18 Jan 13:20  finished,Al Adalh Club,9623.0,Al-Baten,Al Batin,1,2016/2017,3,2
Mon 01 Apr 22:35,Al Ittihad,9623.0,Al-Baten,Al Batin,4,2018/2019,2,5
Tue 08 Mar 14:00  finished,Al Hazm Rass,9623.0,Al-Baten,Al Batin,2,2015/2016,(,)
Tue 01 Jan 13:45  finished,Al Hjazz,9623.0,Al-Baten,Al Batin,1,2018/2019,1,2
Fri 22 May 18:10  finished,Al Nassr,9623.0,Al-Baten,Al Batin,3,2014/2015,1,0
Mon 17 Mar 14:15  finished,Al Faisaly,6777.0,Al-Faisaly,Abha,2,2013/2014,(,)
Fri 01 May 20:00  finished,Al Faisaly,6777.0,Al-Faisaly,Al Hilal Riyadh,3,2014/2015,1,3
Fri 10 Jun 20:05  finished,Al Faisaly,6777.0,Al-Faisaly,Al Hilal Riyadh,1,2010/2011,0,3
Fri 30 Mar 19:35  finished,Al Faisaly,6777.0,Al-Faisaly,Al Ahli Jeddah,4,2017/2018,1,0
Fri 27 Apr 19:45  finished,Al Faisaly,6777.0,Al-Faisaly,Al Ahli Jeddah,1,2011/2012,0,3
Fri 12 May 19:50  finished,Al Faisaly,6777.0,Al-Faisaly,Al Ahli Jeddah,4,2016/2017,0,3
Sat 25 Feb 16:40  finished,Al Faisaly,6777.0,Al-Faisaly,Al Khaleej Saihat,2,2016/2017,2,1
Mon 09 Mar   finished,Al Faisaly,6777.0,Al-Faisaly,Al Ansar Medina,1,2014/2015,0,0
Tue 25 Feb   finished,Al Faisaly,6777.0,Al-Faisaly,Al Batin,1,2013/2014,4,1
Sat 20 Jan 13:30  finished,Al Faisaly,6777.0,Al-Faisaly,Al Najoom,2,2017/2018,2,0
Wed 02 Jan 16:00  finished,Al Faisaly,6777.0,Al-Faisaly,Afief,1,2018/2019,2,0
Wed 15 Apr 18:00  finished,Al Faisaly,6777.0,Al-Faisaly,Al Raed,2,2014/2015,2,1
Sat 01 Apr 18:20  finished,Al Faisaly,6777.0,Al-Faisaly,Al Adalh Club,3,2016/2017,2,1
Sat 12 May 20:00  finished,Al Faisaly,6777.0,Al-Faisaly,Al Ittihad,5,2017/2018,1,3
Fri 05 Jan 13:05  finished,Al Fateh FC,6772.0,Al-Fateh,Al Hazm Rass,1,2017/2018,1,0
Wed 22 Apr 17:50  finished,Al Fateh FC,6772.0,Al-Fateh,Al Ittihad,2,2014/2015,1,4
Thu 08 Apr   finished,Al Fateh FC,6772.0,Al-Fateh,Al Hilal Riyadh,1,2009/2010,0,5
Fri 07 Mar 18:25  finished,Al Fateh FC,6772.0,Al-Fateh,Al Ettifaq Dammam,2,2013/2014,0,1
Fri 24 May 17:55  finished,Al Fateh FC,6772.0,Al-Fateh,Al Ittihad,2,2012/2013,0,4
Tue 01 May 19:45  finished,Al Fateh FC,6772.0,Al-Fateh,Al Ettifaq Dammam,1,2011/2012,3,2
Tue 03 Mar   finished,Al Fateh FC,6772.0,Al-Fateh,Al Hazm Rass,1,2014/2015,1,1
Mon 14 May 19:50  finished,Al Fateh FC,6772.0,Al-Fateh,Al Nassr,2,2011/2012,1,0
Sun 05 May 17:55  finished,Al Fateh FC,6772.0,Al-Fateh,Al Ettifaq Dammam,1,2012/2013,2,2
Sat 21 Jan 13:20  finished,Al Fateh FC,6772.0,Al-Fateh,Al Watani,1,2016/2017,2,1
Sat 24 Feb 16:40  finished,Al-Fayha,10483.0,Al-Feiha,Al Ahli Jeddah,3,2017/2018,(,)
Mon 21 Jan 16:15  finished,Al-Fayha,10483.0,Al-Feiha,Al Nassr,3,2018/2019,0,6
Tue 01 Jan 16:00  finished,Al-Fayha,10483.0,Al-Feiha,Al Shahed,1,2018/2019,6,2
Tue 10 Mar   finished,Al-Fayha,10483.0,Al-Feiha,Al Taawon,1,2014/2015,0,3
Wed 24 Jan 13:35  finished,Al-Fayha,10483.0,Al-Feiha,Al Fateh FC,2,2017/2018,2,1
Thu 17 Jan 13:35  finished,Al Hazm Rass,6846.0,Al-Hazm,Al Jeel,2,2018/2019,0,1
Thu 08 Apr   finished,Al Hazm Rass,6846.0,Al-Hazm,Al Ittihad,1,2009/2010,0,0
Tue 08 Mar 14:00  finished,Al Hazm Rass,6846.0,Al-Hazm,Al Batin,2,2015/2016,(,)
Thu 21 Jan 13:40  finished,Al Hazm Rass,6846.0,Al-Hazm,Al Fateh FC,1,2015/2016,1,0
Sun 02 May   finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Nassr,2,2009/2010,1,1
Fri 07 May   finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ittihad,3,2009/2010,0,0
Mon 21 Jan 18:05  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Faisaly,3,2018/2019,3,2
Sat 13 May 19:30  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Taawon,4,2016/2017,4,3
Mon 23 Jan 16:15  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Wahda Mecca,2,2016/2017,3,2
Tue 10 Mar   finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Jeel,1,2014/2015,4,1
Thu 26 Apr 19:45  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ittihad,1,2011/2012,1,1
Thu 17 May 19:50  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Fateh FC,3,2011/2012,0,3
Mon 07 May 19:50  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ahli Jeddah,2,2011/2012,0,1
Thu 09 May 19:45  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ittihad,1,2012/2013,1,1
Fri 29 Apr 19:45  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ahli Jeddah,4,2015/2016,2,3
Tue 14 Apr 19:30  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Hajer,2,2014/2015,6,1
Wed 15 Jun 18:25  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ittihad,2,2010/2011,0,3
Sat 05 Jan 13:20  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Drae,1,2018/2019,9,0
Sat 28 May 18:20  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Faisaly,1,2010/2011,2,1
Wed 18 Jan 16:10  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Qaisoma,1,2016/2017,2,1
Sun 31 May 19:50  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ittihad,4,2014/2015,4,1
Thu 23 Jun   finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Wahda Mecca,3,2010/2011,6,3
Sun 04 Apr   finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Fateh FC,1,2009/2010,3,1
Thu 04 Jan 17:20  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Hajer,1,2017/2018,2,1
Fri 11 Apr 19:40  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Shabab,3,2013/2014,0,1
Fri 24 Feb 17:55  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Fateh FC,2,2016/2017,1,0
Tue 14 Apr 17:45  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Taawon,2,2014/2015,0,2
Sun 20 Apr 19:45  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Shabab,4,2013/2014,2,2
Thu 09 May 17:55  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Fateh FC,1,2012/2013,1,2
Wed 03 Jan 15:40  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Ta ee,1,2017/2018,6,0
Thu 30 Mar 19:15  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Taawon,3,2016/2017,(,)
Sat 28 Apr 19:45  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Fateh FC,1,2011/2012,1,2
Sat 11 Jun 20:05  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Wahda Mecca,1,2010/2011,4,3
Fri 18 Jan 13:10  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Amgad,2,2018/2019,9,1
Sat 05 Jan 13:00  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Draih,1,2018/2019,3,0
Mon 01 Apr 20:35,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Hilal Riyadh,4,2018/2019,2,5
Sat 02 May 19:35  finished,Al Ittihad,1316.0,Al-Ittihad,Qadisiyah Khobar,3,2014/2015,2,1
Wed 13 Apr 20:00  finished,Al Ittihad,1316.0,Al-Ittihad,Al Hazm Rass,3,2015/2016,3,0
Mon 09 Mar   finished,Al Ittihad,1316.0,Al-Ittihad,Al Riyadh,1,2014/2015,4,0
Tue 25 Feb   finished,Al Faisaly,9623.0,Al-Baten,Al Batin,1,2013/2014,4,1
Thu 17 Jan 13:25  finished,Al Shoalah,9623.0,Al-Baten,Al Batin,2,2018/2019,0,1
Thu 22 Feb 18:00  finished,Al Nassr,9623.0,Al-Baten,Al Batin,3,2017/2018,0,1
Fri 05 Jan 13:20  finished,Al Mojzel,9623.0,Al-Baten,Al Batin,1,2017/2018,1,3
Sat 28 May 18:20  finished,Al Hilal Riyadh,6777.0,Al-Faisaly,Al Faisaly,1,2010/2011,2,1
Thu 21 Jan 15:55  finished,Al Jeel,6777.0,Al-Faisaly,Al Faisaly,1,2015/2016,0,0
Mon 21 Jan 18:05  finished,Al Hilal Riyadh,6777.0,Al-Faisaly,Al Faisaly,3,2018/2019,3,2
Sun 25 Feb 16:20  finished,Qadisiyah Khobar,6777.0,Al-Faisaly,Al Faisaly,3,2017/2018,2,3
Tue 15 Jan 13:10  finished,Al Khaleej Saihat,6777.0,Al-Faisaly,Al Faisaly,2,2018/2019,1,2
Sat 06 Jan 13:55  finished,Al Watani,6777.0,Al-Faisaly,Al Faisaly,1,2017/2018,2,3
Mon 23 Apr 19:45  finished,Al Ahli Jeddah,6777.0,Al-Faisaly,Al Faisaly,1,2011/2012,5,1
Tue 18 Feb   finished,Al Jeel,6772.0,Al-Fateh,Al Fateh FC,1,2013/2014,1,2
Sun 04 Apr   finished,Al Hilal Riyadh,6772.0,Al-Fateh,Al Fateh FC,1,2009/2010,3,1
Fri 17 May 19:50  finished,Al Ittihad,6772.0,Al-Fateh,Al Fateh FC,2,2012/2013,2,0
Fri 24 Feb 17:55  finished,Al Ettifaq Dammam,6772.0,Al-Fateh,Al Fateh FC,2,2016/2017,1,0
Tue 28 May 18:30  finished,Al Ahli Jeddah,6772.0,Al-Fateh,Al Fateh FC,3,2012/2013,2,0
Thu 17 May 19:50  finished,Al Hilal Riyadh,6772.0,Al-Fateh,Al Fateh FC,3,2011/2012,0,3
Thu 21 Jan 13:40  finished,Al Hazm Rass,6772.0,Al-Fateh,Al Fateh FC,1,2015/2016,1,0
Thu 09 May 17:55  finished,Al Ettifaq Dammam,6772.0,Al-Fateh,Al Fateh FC,1,2012/2013,1,2
Tue 08 May 19:50  finished,Al Nassr,6772.0,Al-Fateh,Al Fateh FC,2,2011/2012,2,0
Wed 02 Jan 13:25  finished,Al Arabi,6772.0,Al-Fateh,Al Fateh FC,1,2018/2019,1,2
Thu 17 Jan 13:25  finished,Al Qaisoma,6772.0,Al-Fateh,Al Fateh FC,2,2018/2019,3,0
Wed 24 Jan 13:35  finished,Al-Fayha,6772.0,Al-Fateh,Al Fateh FC,2,2017/2018,2,1
Sat 28 Apr 19:45  finished,Al Ettifaq Dammam,6772.0,Al-Fateh,Al Fateh FC,1,2011/2012,1,2
Fri 22 Jan 13:40  finished,Al Raed,10483.0,Al-Feiha,Al-Fayha,1,2015/2016,1,0
